feature,importance_mean,importance_std
sub_centres_per_100k,0.2428540942977396,0.02283284676116498
district_hospital_per_100k,0.2366796007064377,0.03158412948974509
phcs_per_100k,0.08428504347644908,0.021238846335195825
chcs_per_100k,0.07519513243757296,0.01731288943896416
population,0.03968626751159482,0.01641012566529257
sub_divisional_hospital_per_100k,0.01378659171059914,0.004118342263883108
