state,district,year,actual,predicted,probability_underserved,error_type,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,population
Rajasthan,Jaipur,2020-21,0.0,1.0,0.7254308314234783,False Positive,9.371918472458784,2.731589764114396,0.5583912777471417,0.015091656155328155,0.015091656155328155,6626178.0
Uttar Pradesh,Rampur,2020-21,1.0,0.0,0.49490321447388924,False Negative,9.033234167544661,1.4984037718675978,0.2140576816953711,0.0,0.08562307267814843,2335819.0
Uttar Pradesh,Ballia,2020-21,0.0,1.0,0.5098941870851297,False Positive,11.327950653348042,2.5001743948806308,0.27779715498673674,0.0,0.06173270110816372,3239774.0
Maharashtra,Buldhana,2020-21,1.0,0.0,0.21432006347758814,False Negative,10.826452735960604,2.2426223524489823,0.46399083154116877,0.03866590262843073,0.07733180525686147,2586258.0
Karnataka,Belagavi,2020-21,1.0,0.0,0.2482457240471946,False Negative,12.992553237562246,3.2010638411385237,0.33475177423670843,0.1882978730081485,0.020921985889794277,4779661.0
Karnataka,Raichur,2020-21,1.0,0.0,0.28967970923248976,False Negative,11.043066924096284,2.9551869233497094,0.31107230772102207,0.20738153848068136,0.05184538462017034,1928812.0
