sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,population
-0.1108394307376086,-0.07204698059496821,-0.05470776739001561,-0.004549813962603936,0.040864080672580474,-0.06029747053508494
-0.11117814930658794,-0.07235609575281121,-0.054540767582721104,-0.005253799223738894,0.040029562124232546,-0.058278132806074204
-0.1204741161709481,-0.07038467658185951,-0.05697903614958235,-0.007153582975841892,0.05024259476745985,-0.04682267905278153
-0.12349216454952454,-0.07533153958205224,-0.0527688700540012,0.010068706649931293,0.03943041098761283,-0.05948392599966689
-0.11957526551476194,-0.07744887806081581,-0.05426429986688292,0.0019778656295949015,0.04243905235704378,-0.058313083199104936
-0.14596360050824705,-0.11096643091699528,-0.0803377008285128,-0.006420872129134922,0.0539458362213236,0.11964652408283778
-0.13029192696893982,-0.020969948055748793,-0.06429294418544641,-0.0014460156176960694,0.0504958465465645,-0.05232408786162559
-0.09343454639191648,-0.011494303995469126,-0.04014204132956472,0.00473224484086229,-0.046032630073253276,-0.06478131111493132
-0.09919262613949235,-0.006017121385865829,-0.05138844482497098,0.004863006517128071,-0.0256634712753382,-0.06876808346988587
-0.0955234192879296,-0.045749228557374046,-0.04566740417010044,0.007185311549852892,-0.024991311189474962,-0.062115268602896935
-0.10853198721816677,-0.05207412768449246,-0.05455140309266653,-0.006836273650429631,0.023687617136515297,-0.06099263660988926
0.2099118541576858,-0.00491636965455562,-0.09891728232242751,-0.001935683496494245,0.1056746179745379,0.2483775138602096
-0.13034773539432962,-0.08237472966087583,-0.05769542777526952,0.003214465150368124,0.042975565312958076,-0.037380988712020405
-0.11450143279246222,-0.09399539982974292,-0.060330850886265906,0.003560315561670621,0.055741548365379395,0.030059405036614025
-0.15696494139196318,-0.008423801718732669,-0.08829609538668186,-0.005433032183862243,0.07303034976512239,0.18459482620712683
-0.06582747178691334,-0.04293383214931351,-0.034409815215779974,-0.006089594793895114,-0.06898519376550026,-0.04861541254652117
-0.12416472902758638,-0.08239337341402046,-0.05905070493354724,0.0012419900560928536,0.04411333003140223,-0.04214703045817686
-0.11054324693536914,-0.07394402279362838,-0.05015900000121583,-0.005864148909897068,0.04505501132811814,-0.061121975235708476
