state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,sub_centres_per_100k_norm,phcs_per_100k_norm,chcs_per_100k_norm,sub_divisional_hospital_per_100k_norm,district_hospital_per_100k_norm,D_HAI_v1
Karnataka,Bagalkote,233,55,8,5,1,2019-20,Bagalkote,556.0,exact,1889752.0,12.329660188215174,2.910434808376972,0.4233359721275596,0.2645849825797248,0.05291699651594495,0.34882810397494335,0.3364474118631003,0.25781891919247507,0.1246245980072165,0.23176533217057052,0.2598968730416612
Karnataka,Bangalore Rural,199,50,2,4,0,2019-20,Bengaluru Rural,583.0,fuzzy,990923.0,20.082286918357937,5.045800733255763,0.20183202933023048,0.40366405866046096,0.0,0.5681637581469859,0.6150233540317114,0.12291919205170788,0.19013350852353478,0.0,0.29924796255078795
Karnataka,Bangalore Urban,279,203,11,5,7,2019-20,Bengaluru Urban,572.0,fuzzy,9621551.0,2.899740384892207,2.109846946713685,0.11432668184162824,0.051966673564376474,0.07275334299012706,0.0820388335964307,0.2320041802590072,0.06962692397514704,0.024477299276731306,0.3186443640947286,0.14535832024040898
Karnataka,Belgaum,620,153,16,9,0,2019-20,Belagavi,555.0,crosswalk,4779661.0,12.97163125167245,3.2010638411385237,0.33475177423670843,0.1882978730081485,0.0,0.3669906117370487,0.37436234516789063,0.20386961258625588,0.08869190722940393,0.0,0.20678289534411984
Karnataka,Bellary,293,74,11,6,1,2019-20,Ballari,565.0,crosswalk,2452595.0,11.9465301038288,3.0172123811717793,0.4485045431471564,0.24463884171663075,0.040773140286105125,0.33798866972678787,0.3503774191734301,0.2731470136732726,0.11522958335966599,0.17857779209368038,0.2510640956053674
Karnataka,Bidar,275,58,8,4,0,2019-20,Bidar,558.0,exact,1703300.0,16.14513004168379,3.405154699700581,0.46967651030352847,0.23483825515176424,0.0,0.4567745594685945,0.4009876661723705,0.28604110736911775,0.11061331924303804,0.0,0.25088333045062416
Karnataka,Bijapur,310,67,9,4,1,2019-20,Vijayapura,557.0,crosswalk,2177331.0,14.237614767805171,3.0771619014288594,0.4133501061620856,0.18371115829426027,0.04592778957356507,0.40280754609329367,0.3581983241965916,0.251737354336362,0.08653147668713056,0.20115407349640455,0.2600857549619565
Karnataka,Chamrajnagar,254,62,3,3,0,2019-20,Chamarajanagara,578.0,fuzzy,1020791.0,24.882664521924664,6.073721261257202,0.29388973844792915,0.29388973844792915,0.0,0.7039750126547522,0.7491239904735479,0.17898392699208932,0.1384276996956282,0.0,0.35410212596320356
Karnataka,Chikkaballapur,203,61,2,5,1,2019-20,Chikkaballapura,582.0,fuzzy,1255104.0,16.173958492682676,4.8601550150425785,0.15934934475549437,0.3983733618887359,0.07967467237774718,0.45759016782672984,0.590804352380394,0.09704650335386912,0.18764148893903082,0.34895833333333337,0.3364081691666715
Karnataka,Chikmagalur,368,91,5,6,1,2019-20,Chikkamagaluru,570.0,fuzzy,1137961.0,32.33854235777852,7.996759115646318,0.43938236899155597,0.5272588427898671,0.08787647379831119,0.9149151106986219,1.0,0.26759145204768564,0.24834902074851423,0.38488050117710537,0.5631472169343854
Karnataka,Chitradurga,343,86,11,5,1,2019-20,Chitradurga,566.0,exact,1659456.0,20.66942419684523,5.182421227197347,0.6628678313857072,0.30130355972077594,0.0602607119441552,0.5847749202148174,0.6328466143806271,0.40369795884916504,0.1419197516133801,0.2639292635658915,0.40543370172477616
Karnataka,Dakshina Kannada,430,80,5,4,2,2019-20,Dakshina Kannada,575.0,exact,2089649.0,20.577618537850135,3.8283941465767697,0.2392746341610481,0.19141970732883848,0.09570985366441924,0.5821775741831693,0.45620271212902486,0.14572238512957744,0.09016235102960674,0.41918905998088674,0.338690816490453
Karnataka,Davanagere,324,108,6,5,2,2019-20,Davangere,567.0,fuzzy,1945497.0,16.653842180172983,5.551280726724328,0.30840448481801824,0.2570037373483485,0.10280149493933942,0.4711669342809868,0.6809673516329103,0.18782365824072905,0.121053686196038,0.4502489595203694,0.3822521179742068
Karnataka,Dharwad,185,53,0,3,1,2019-20,Dharwad,562.0,exact,1847023.0,10.01611782852731,2.869482404929446,0.0,0.16242353235449694,0.05414117745149898,0.2833738592937314,0.3311048360349732,0.0,0.07650459685667152,0.23712698759030074,0.18562205595513537
Karnataka,Gadag,191,42,2,4,1,2019-20,Gadag,561.0,exact,1064570.0,17.941516292963357,3.9452548916463925,0.18786928055459012,0.37573856110918025,0.09393464027729506,0.5075975343498851,0.47144815169561527,0.11441563687259133,0.1769800639381785,0.41141399814009416,0.3363710769992728
Karnataka,Gulbarga,337,102,16,6,0,2019-20,Kalaburagi,579.0,crosswalk,2566326.0,13.131613053057173,3.9745535056730907,0.6234593734389161,0.23379726503959358,0.0,0.3715167825800107,0.47527039542051,0.37969752726802297,0.11012299294789517,0.0,0.26732153964328775
Karnataka,Hassan,486,138,15,7,0,2019-20,Hassan,574.0,exact,1776421.0,27.358379573310607,7.768428767730172,0.8443944312750188,0.39405073459500867,0.0,0.7740174123781951,0.9702124394440556,0.5142507936412085,0.18560544863332884,0.0,0.48881721881935764
Karnataka,Haveri,311,72,5,6,1,2019-20,Haveri,564.0,exact,1597668.0,19.465871507722508,4.506568323331256,0.3129561335646705,0.3755473602776046,0.0625912267129341,0.550724265438305,0.5446760777675287,0.19059569094682774,0.17689000468182375,0.27413642884504164,0.3474044935359054
Karnataka,Kodagu,196,30,7,2,0,2019-20,Kodagu,576.0,exact,554519.0,35.34594847065655,5.410094153671921,1.2623553025234482,0.36067294357812807,0.0,1.0,0.6625484089348974,0.7687961835556417,0.16988386932338356,0.0,0.5202456923627845
Karnataka,Kolar,266,68,2,5,1,2019-20,Kolar,581.0,exact,1536401.0,17.313188418908865,4.425927866487981,0.13017434901435238,0.3254358725358809,0.06508717450717619,0.48982101677882267,0.5341558709119764,0.07927842701576902,0.15328653348529017,0.2850681560347852,0.3083220008453287
Karnataka,Koppal,176,48,9,3,0,2019-20,Koppal,560.0,exact,1389920.0,12.66259928628986,3.4534361689881434,0.6475192816852768,0.21583976056175896,0.0,0.3582475455935799,0.4072863785566805,0.39435042697029,0.10166466415333257,0.0,0.25230980305477657
Karnataka,Mandya,410,117,9,6,0,2019-20,Mandya,573.0,exact,1805769.0,22.705008226412126,6.479234054854192,0.49840261960416865,0.33226841306944577,0.0,0.6423652273827462,0.80202644958913,0.30353580411145914,0.15650479103362613,0.0,0.3808864544233923
Karnataka,Mysore,510,147,10,6,1,2019-20,Mysuru,577.0,crosswalk,3001127.0,16.993616064898287,4.89815992458833,0.3332081581352605,0.1999248948811563,0.03332081581352605,0.48077974421894554,0.5957624035323723,0.20292952371801418,0.09416845738284318,0.14593817589192326,0.3039156609488197
Karnataka,Raichur,213,57,6,4,0,2019-20,Raichur,559.0,exact,1928812.0,11.043066924096284,2.9551869233497094,0.31107230772102207,0.20738153848068136,0.0,0.3124280830450483,0.3422856911234926,0.1894484084692358,0.0976806794372218,0.0,0.1883685724149997
Karnataka,Ramanagar,249,65,4,3,1,2019-20,Ramanagara,584.0,fuzzy,1082636.0,22.999419934308484,6.0038646414861505,0.36946859332222465,0.2771014449916685,0.09236714833055616,0.6506946603343269,0.7400106233252267,0.22501275506348312,0.13052009170210488,0.40454871258668657,0.4301573686023657
Karnataka,Shimoga,356,106,7,7,0,2019-20,Shivamogga,568.0,fuzzy,1752753.0,20.310905187439417,6.047629072664546,0.3993717312136964,0.3993717312136964,0.0,0.5746317772262101,0.7457200511600307,0.2432242825481348,0.18811174002649927,0.0,0.350337570192175
Karnataka,Tumkur,569,150,4,9,1,2019-20,Tumakuru,571.0,fuzzy,2678980.0,21.23942694607649,5.599145943605402,0.14931055849614405,0.3359487566163241,0.03732763962403601,0.600901315852622,0.6872117604878034,0.09093270912470758,0.1582383033841238,0.1634872227489567,0.34015426231964274
Karnataka,Udupi,336,62,6,2,1,2019-20,Udupi,569.0,exact,1177361.0,28.53840071142156,5.266014416988503,0.5096142984182421,0.16987143280608072,0.08493571640304036,0.8074023175559577,0.6437520293887233,0.3103639101655003,0.0800127007207928,0.3720006013448722,0.44270631183516923
Karnataka,Uttara Kannada,344,85,3,10,0,2019-20,Uttara Kannada,563.0,exact,1437169.0,23.935946294416315,5.914405334376124,0.20874371768386318,0.695812392279544,0.0,0.6771906634302776,0.7283399253555841,0.12712852964277813,0.32774097316785056,0.0,0.37208001831929804
Karnataka,Yadgir,169,44,6,2,1,2019-20,Yadgir,580.0,exact,1174271.0,14.391907830475247,3.7470055889994733,0.5109553075908372,0.1703184358636124,0.0851592179318062,0.4071727723595563,0.44558490941676765,0.3111806079144964,0.08022324772844883,0.37297949110554546,0.32342820570496295
Maharashtra,Ahmadnagar,558,106,23,3,1,2019-20,Ahmednagar,522.0,fuzzy,4543159.0,12.282202758036865,2.3331783017059275,0.5062556692380786,0.06603334816148851,0.022011116053829504,0.34748544852978797,0.2611395813197355,0.30831844698209493,0.031102972623234183,0.09640406598140193,0.2088901030872509
Maharashtra,Akola,178,45,5,1,1,2019-20,Akola,501.0,exact,1813906.0,9.813077414154868,2.4808341777357814,0.27564824197064236,0.05512964839412847,0.05512964839412847,0.2776294833989665,0.28040249747968266,0.16787454055702797,0.02596712104522873,0.24145628274011993,0.19866598504420513
Maharashtra,Amravati,334,74,10,4,3,2019-20,Amravati,503.0,exact,2888445.0,11.563315209394673,2.5619321122610956,0.34620704219744536,0.13848281687897812,0.10386211265923359,0.3271468360509349,0.2909823860388766,0.21084606863806402,0.06522806100398888,0.45489424240378473,0.26981951882712985
Maharashtra,Aurangabad,279,82,11,3,1,2019-20,Chhatrapati Sambhajinagar,515.0,crosswalk,3701282.0,7.537928750092536,2.215448593217161,0.29719432348035085,0.08105299731282296,0.027017665770940988,0.21326146492717157,0.2457807783710766,0.18099647635603014,0.03817751525012145,0.11833170236690964,0.15930958745426188
Maharashtra,Bhandara,193,35,7,2,1,2019-20,Bhandara,506.0,exact,1200334.0,16.078858051175757,2.915855087000785,0.583171017400157,0.16662029068575915,0.08331014534287957,0.45489960651428213,0.33715453152200875,0.35516122255063254,0.07848135046856404,0.3648809414712905,0.3181155305053556
Maharashtra,Bid,297,55,10,3,2,2019-20,Beed,523.0,crosswalk,2585049.0,11.489143919515646,2.127619244354749,0.3868398626099544,0.11605195878298631,0.07736797252199087,0.32504839781152534,0.23432272178024152,0.23559215810890732,0.05466269691599656,0.3388554723720904,0.23769628939775225
Maharashtra,Buldana,280,58,12,2,2,2019-20,Buldhana,500.0,fuzzy,2586258.0,10.826452735960604,2.2426223524489823,0.46399083154116877,0.07733180525686147,0.07733180525686147,0.3062996808516397,0.24932581741664314,0.28257843079566203,0.03642476246891584,0.3386970673459493,0.242665151775762
Maharashtra,Chandrapur,339,67,10,3,0,2019-20,Chandrapur,509.0,exact,2204307.0,15.37898305453823,3.0395040255282044,0.4536573172430156,0.13609719517290467,0.0,0.4350988930826268,0.3532855464207221,0.2762851421001125,0.06410438745601225,0.0,0.22575479381189473
Maharashtra,Dhule,232,49,5,2,0,2019-20,Dhule,498.0,exact,2050862.0,11.31231647960711,2.3892392564687435,0.2437999241294636,0.09751996965178546,0.0,0.3200456337732273,0.26845319118396044,0.14847836488444194,0.045933774838742614,0.0,0.15658219293607448
Maharashtra,Gadchiroli,376,48,9,3,2,2019-20,Gadchiroli,508.0,exact,1072942.0,35.043832751444164,4.473680776780105,0.8388151456462697,0.27960504854875656,0.18640336569917107,0.9914526068111258,0.5403856284542004,0.5108529123238212,0.1316993369632282,0.8164075970555725,0.5981596163215896
Maharashtra,Gondiya,258,41,10,1,0,2019-20,Gondia,507.0,fuzzy,1322507.0,19.50840335816748,3.10017262668553,0.7561396650452512,0.07561396650452512,0.0,0.5519275674371262,0.36120026142602635,0.4605021166067724,0.03561562749132267,0.0,0.28184911459224954
Maharashtra,Hingoli,132,27,3,2,2,2019-20,Hingoli,512.0,exact,1177345.0,11.211666928555351,2.293295508113595,0.2548106120126216,0.16987374134174774,0.16987374134174774,0.31719807824263185,0.2559365448416054,0.15518406398989407,0.0800137880853389,0.7440113135911733,0.3104687577501287
Maharashtra,Jalgaon,442,95,19,3,0,2019-20,Jalgaon,499.0,exact,4229917.0,10.449377611901133,2.24590695278418,0.449181390556836,0.07092337745634253,0.0,0.2956315522435614,0.24975432038297993,0.2735592254367682,0.03340627014667191,0.0,0.1704702736419963
Maharashtra,Jalna,218,43,8,1,2,2019-20,Jalna,514.0,exact,1959046.0,11.127865297701023,2.1949459073446973,0.40836202927343207,0.05104525365917901,0.10209050731835802,0.3148271804599935,0.24310603538329906,0.2486995293534803,0.024043292840835114,0.4471349830478713,0.25556220421709586
Maharashtra,Kolhapur,413,91,18,4,0,2019-20,Kolhapur,530.0,exact,3876001.0,10.655312008433434,2.347780612027706,0.4643961650164693,0.10319914778143761,0.0,0.30145780406145406,0.2630445720795552,0.28282528588333467,0.04860877658872293,0.0,0.1791872877226134
Maharashtra,Latur,252,57,10,2,1,2019-20,Latur,524.0,exact,2454196.0,10.268128543930477,2.3225528849366555,0.4074654184099396,0.0814930836819879,0.04074654184099395,0.2905036924516216,0.25975340883615883,0.2481534778506985,0.038384804364986876,0.1784612964897669,0.20305133599864655
Maharashtra,Nagpur,316,95,12,2,1,2019-20,Nagpur,505.0,exact,4653570.0,6.790485584185904,2.041443450941965,0.2578665411716166,0.042977756861936105,0.021488878430968052,0.19211496304373385,0.22308038501613095,0.15704517763195294,0.02024334722231176,0.09411677486316956,0.13732012955545983
Maharashtra,Nanded,379,80,13,4,2,2019-20,Nanded,511.0,exact,3361292.0,11.275426234912052,2.3800371999814356,0.38675604499698335,0.11900185999907177,0.059500929999535886,0.31900194287536715,0.2672527076855708,0.23554111173484918,0.05605215692854612,0.26060157820266727,0.2276898994854001
Maharashtra,Nandurbar,292,61,12,2,1,2019-20,Nandurbar,497.0,exact,1648295.0,17.715275481634052,3.7007938506153324,0.7280250197931802,0.12133750329886338,0.06066875164943169,0.5011967777959302,0.4395562103494909,0.4433798120316614,0.057152289689244545,0.26571639178666445,0.3414002963305983
Maharashtra,Nashik,587,156,27,6,4,2019-20,Nashik,516.0,exact,6107187.0,9.61162643292239,2.554367501764724,0.4421020676131253,0.09824490391402785,0.0654966026093519,0.27193007540600467,0.2899955207566253,0.2692477954848339,0.046275232770832134,0.2868613651424134,0.23286199791214188
Maharashtra,Osmanabad,211,44,6,3,2,2019-20,Dharashiv,525.0,crosswalk,1657576.0,12.729431410686448,2.654478588010444,0.3619743529105151,0.18098717645525755,0.12065811763683837,0.3601383457358387,0.30305583039606454,0.22044863320678126,0.08524842903130837,0.5284572170446483,0.29946969108292826
Maharashtra,Parbhani,214,38,6,2,2,2019-20,Parbhani,513.0,exact,1836086.0,11.655227478451446,2.069619832622219,0.32678207883508725,0.10892735961169575,0.10892735961169575,0.3297471982716029,0.22675622435684004,0.19901593042829346,0.05130687415150126,0.47707896035370895,0.25678103751238934
Maharashtra,Pune,542,193,28,11,2,2019-20,Pune,521.0,exact,9429408.0,5.747974846353027,2.0467880910445277,0.29694334999609734,0.11665631606989538,0.02121023928543552,0.1626204726441242,0.2237776370115743,0.18084362916912322,0.054947360781645395,0.09289639391995765,0.14301709870528495
Maharashtra,Raigarh,288,59,8,5,1,2019-20,Raigad,520.0,fuzzy,2634200.0,10.933110621820667,2.239769189886873,0.3036975172727963,0.1898109482954977,0.03796218965909954,0.30931722290313135,0.2489535990349412,0.1849570337035222,0.08940459469035508,0.16626641864702757,0.1997797737957955
Maharashtra,Ratnagiri,378,68,8,3,1,2019-20,Ratnagiri,528.0,exact,1615069.0,23.404572807725245,4.210346431019356,0.4953348742375713,0.18575057783908924,0.06191685927969641,0.6621571586105609,0.5060315102110615,0.30166749419487227,0.08749208238161962,0.27118284110462154,0.36570621730054714
Maharashtra,Sangli,320,71,15,2,0,2019-20,Sangli,531.0,exact,2822143.0,11.338900969936676,2.5158186527047,0.5315109829657817,0.07086813106210423,0.0,0.32079775647695485,0.28496650824813863,0.32369936927041226,0.033380248036096447,0.0,0.19256877640632045
Maharashtra,Satara,401,76,15,2,1,2019-20,Satara,527.0,exact,3003741.0,13.35001919273333,2.530178201116541,0.4993772765361594,0.06658363687148793,0.03329181843574396,0.3776958822824129,0.28683982873215425,0.3041293870180249,0.031362169152844184,0.14581117346668707,0.22916768813042468
Maharashtra,Sindhudurg,248,38,7,3,1,2019-20,Sindhudurg,529.0,exact,849651.0,29.188455024474756,4.472424560201777,0.8238676821424327,0.353086149489614,0.11769538316320464,0.8257935148835059,0.5402217447316034,0.501749648866524,0.16631034389414007,0.5154810622243721,0.5099112629200291
Maharashtra,Solapur,427,95,16,3,0,2019-20,Solapur,526.0,exact,4317756.0,9.889396251200855,2.2002169645528835,0.37056285718785403,0.06948053572272264,0.0,0.27978867958263504,0.24379368788860842,0.22567918065857273,0.032726664035670386,0.0,0.1563976424330973
Maharashtra,Thane,176,133,11,5,6,2019-20,Thane,517.0,exact,11060148.0,1.5912987782803631,1.2025155540414108,0.0994561736425227,0.04520735165569213,0.05424882198683056,0.045020684042512686,0.11363538237384652,0.06057052762765924,0.021293529104071063,0.23759844804970062,0.09562371423955802
Maharashtra,Wardha,181,32,7,2,1,2019-20,Wardha,504.0,exact,1300774.0,13.91479226983319,2.4600737714622216,0.538141137507361,0.15375461071638885,0.07687730535819443,0.39367432115691997,0.2776941327586392,0.3277372479070853,0.07242136861079121,0.3367064532347664,0.2816467047336404
Maharashtra,Washim,153,26,7,0,1,2019-20,Washim,502.0,exact,1197160.0,12.780246583581143,2.171806608974573,0.5847171639546929,0.0,0.08353102342209896,0.36157599771840976,0.2400873247400898,0.35610285250851265,0.0,0.3658483410738748,0.2647229032081774
Maharashtra,Yavatmal,444,69,14,3,0,2019-20,Yavatmal,510.0,exact,2772348.0,16.015305437845466,2.4888650342597685,0.5049871084005327,0.10821152322868557,0.0,0.45310158959635866,0.28145018836793995,0.3075458715205241,0.05096970149490612,0.0,0.21861347019594576
Rajasthan,Ajmer,371,90,22,3,1,2019-20,Ajmer,119.0,exact,2583052.0,14.362854483765718,3.4842504138515213,0.8517056567192608,0.11614168046171738,0.03871389348723913,0.40635080130016743,0.41130634871496474,0.518703456221555,0.054704957546344406,0.16955872355647508,0.3121248574679013
Rajasthan,Alwar,684,133,37,0,1,2019-20,Alwar,104.0,exact,3674179.0,18.61640382790278,3.619856299869985,1.0070276924450332,0.0,0.027216964660676576,0.5266913078696337,0.4289972451655799,0.6132972588137129,0.0,0.11920458965118466,0.3376380803000222
Rajasthan,Banswara,453,59,22,0,1,2019-20,Banswara,125.0,exact,1797485.0,25.20187929245585,3.282363969657605,1.2239323276689376,0.0,0.05563328762131534,0.7130061685394553,0.38496861158656914,0.745395928199679,0.0,0.24366211679096073,0.4174065650233329
Rajasthan,Baran,265,53,14,0,1,2019-20,Baran,128.0,exact,1222755.0,21.672370998278478,4.334474199655696,1.1449554489656555,0.0,0.08178253206897539,0.613150076203795,0.5222249924120658,0.6972976449232936,0.0,0.3581903161303777,0.4381726059339065
Rajasthan,Barmer,721,104,24,1,1,2019-20,Barmer,115.0,exact,2603751.0,27.690819897908824,3.994237544219858,0.921747125589198,0.03840613023288325,0.03840613023288325,0.7834227428045154,0.47783833917195867,0.5613599205705363,0.01809002345718414,0.16821078513267973,0.4017843622273748
Rajasthan,Bharatpur,395,75,17,0,1,2019-20,Bharatpur,105.0,exact,2548462.0,15.499544431111785,2.942951474261731,0.6670690008326591,0.0,0.03923935299015641,0.43850978971406507,0.34068947676143513,0.4062565436080129,0.0,0.17186012583275717,0.2714631871832541
Rajasthan,Bhilwara,534,86,25,0,1,2019-20,Bhilwara,122.0,exact,2408523.0,22.171264297662923,3.5706530516835424,1.0379805382800995,0.0,0.04151922153120398,0.6272646585242727,0.4225782791880872,0.6321480765673327,0.0,0.18184547127015188,0.37276729710996886
Rajasthan,Bikaner,419,72,17,0,0,2019-20,Bikaner,101.0,exact,2363937.0,17.724668635416258,3.045766448090622,0.7191393002436189,0.0,0.0,0.5014625268899178,0.3541025306412052,0.43796825534536815,0.0,0.0,0.25870666257529823
Rajasthan,Bundi,207,33,13,0,1,2019-20,Bundi,121.0,exact,1110906.0,18.633439732974708,2.970548363227852,1.1702160218776385,0.0,0.09001661706751066,0.5271732840453777,0.3442897165400558,0.7126817701456779,0.0,0.3942538792661125,0.3956797299994448
Rajasthan,Chittorgarh,383,54,23,1,1,2019-20,Chittorgarh,126.0,exact,1544338.0,24.8002704071259,3.496643869412007,1.4893112777125215,0.06475266424837049,0.06475266424837049,0.7016439360147473,0.41292317631311193,0.9070162925944497,0.03049974595371393,0.2836030713483706,0.4671372444448786
